aircraft_type_code,aircraft_name
DH2,De Havilland Canada DHC-8-200 Dash 8 / 8Q
DH3,De Havilland Canada DHC-8-300 Dash 8 / 8Q
DH4,De Havilland Canada DHC-8-400 Dash 8Q
DH7,De Havilland Canada DHC-7 Dash 7
DH8,De Havilland Canada DHC-8 Dash 8 all models
DHB,De Havilland Canada DHC-2 Beaver / Turbo Beaver
DHC,De Havilland Canada DHC-5 Buffalo
DHD,De Havilland DH.104 Dove
DHH,De Havilland DH.114 Heron
DHL,De Havilland Canada DHC-3 Turbo Otter
DHO,De Havilland Canada DHC-3 Otter / Turbo Otter
DHP,De Havilland Canada DHC-2 Beaver
DHR,De Havilland Canada DHC-2 Turbo-Beaver
DHS,De Havilland Canada DHC-3 Otter
DHT,De Havilland Canada DHC-6 Twin Otter
E70,Embraer 170
E75,Embraer 175 (short wing)
E7W,Embraer 175 (long wing)
E90,Embraer 190 / Lineage 1000
E95,Embraer 195
EC3,Eurocopter EC.130
EM2,Embraer EMB 120 Brasilia
EMB,Embraer EMB 110 Bandeirante
EMJ,Embraer 170/190
EP1,Embraer Phenom 100
EP3,Embraer Phenom 300
ER3,Embraer RJ135
ER4,Embraer RJ145
ERD,Embraer RJ140
ERJ,Embraer RJ135 / RJ140 / RJ145
F21,Fokker F28 Fellowship
F22,Fokker F.28 Fellowship 2000
F23,Fokker F.28 Fellowship 3000
F24,Fokker F.28 Fellowship 4000
F27,Fokker F27 Friendship
F28,Fokker F.28 Fellowship
F50,Fokker 50
F5F,Fokker 50 Freighter
F70,Fokker 70
FA7,Fairchild Dornier 728JET
FK7,Fairchild FH.227
FRJ,Fairchild Dornier 328JET
GJ4,Gulfstream IV
GJ5,Gulfstream V
GJ6,Gulfstream G650
GR3,Gulfstream G280
GRG,Grumman G.21 Goose
GRJ,Gulfstream Aerospace G-1159 Gulfstream II / III / IV / V
GRM,Grumman G-73 Turbo Mallard
GRS,Gulfstream Aerospace G-159 Gulfstream I
H25,British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900
HEC,Helio H-250 Courier / H-295 / 385 Super Courier
HHJ,Honda HA-420
HOV,Hovercraft
HS7,Hawker Siddeley HS 748
I14,Ilyushin Il-114
I93,Ilyushin Il-96
I9F,Ilyushin IL96 Freighters
I9M,Ilyushin IL96M pax
I9X,Ilyushin IL96-300 Freighter
I9Y,Ilyushin IL96T Freighter
IL6,Ilyushin Il-62
IL7,Ilyushin Il-76
IL8,Ilyushin Il-18
IL9,Ilyushin IL96 pax
ILW,Ilyushin Il-86
J31,British Aerospace Jetstream 31
J32,British Aerospace Jetstream 32
J41,British Aerospace Jetstream 41
JST,British Aerospace Jetstream 31 / 32 / 41
JU5,Junkers Ju52/3M
K35,Boeing KC-135 Stratotanker
L10,Lockheed L-1011 Tristar
L11,Lockheed L-1011 1 / 50 / 100 / 150 / 200 / 250 Tristar pax
L15,Lockheed L-1011 500 Tristar pax
L1F,Lockheed L-1011 Tristar Freighter
L49,Lockheed L-1049 Super Constellation
L4T,LET 410
LCH,Launch – Boat
LMO,Limousine
LOE,Lockheed L-188 Electra
LOF,Lockheed L-188 Electra Freighter
LOH,Lockheed L-182 / 282 / 382 (L-100) Hercules
LOM,Lockheed L-188 Electra Mixed Configuration
LRJ,Learjet 35 / 36 / C-21A
M11,McDonnell Douglas MD-11
M1F,McDonnell Douglas MD-11F
M1M,McDonnell Douglas MD-11C
M80,McDonnell Douglas MD80
M81,McDonnell Douglas MD-81
M82,McDonnell Douglas MD-82
M83,McDonnell Douglas MD-83
M87,McDonnell Douglas MD-87
M88,McDonnell Douglas MD-88
M90,McDonnell Douglas MD-90
MBH,Eurocopter (MBB) Bo.105
MD9,MD Helicopters MD900 Explorer
MIH,MIL Mi-8 / Mi-17 / Mi-171 / Mil-172
MU2,Mitsubishi Mu-2
N/A,Boeing B-52 Stratofortress
ND2,Aerospatiale (Nord) 262
NDC,Aerospatiale SN.601 Corvette
NDE,Eurocopter (Aerospatiale) AS350 Ecureuil / AS355 Ecureuil 2
NDH,Eurocopter (Aerospatiale) SA365C / SA365N Dauphin 2
P18,Piaggio P.180 Avanti
PA1,Piper light aircraft – single piston engine
PA2,Piper light aircraft – twin piston engines
PAG,Piper light aircraft
PAT,Piper light aircraft – twin turboprop engines
PL2,Pilatus PC-12
PL4,Pilatus PC-24
PL6,Pilatus PC-6 Turbo Porter
PN6,Partenavia P.68
RFS,Road Feeder Service – Cargo Truck
S20,Saab 2000
S58,Sikorsky S-58T
S61,Sikorsky S-61
S76,Sikorsky S-76
SF3,Saab SF340A/B
SFB,Saab SF340B
SFF,Saab SF340 Freighter
SH3,Shorts SD.330
SH6,Shorts SD.360
SHB,Shorts SC-5 Belfast
SHS,Shorts SC-7 Skyvan
SSC,Aerospatiale/BAC Concorde
SU1,Sukhoi Superjet 100
SU7,Sukhoi Superjet 100-75
SU9,Sukhoi Superjet 100-95
SW4,Fairchild Swearingen Metroliner
SWM,Fairchild (Swearingen) SA26 / SA226 / SA227 Metro / Merlin / Expediter
T20,Tupolev Tu-204 / Tu-214
T2F,Tupolev Tu-204 Freighter
TU3,Tupolev Tu-134
TU5,Tupolev Tu-154
VCV,Vickers Viscount
WWP,Israel Aircraft Industries 1124 Westwind
YK2,Yakovlev Yak-42
YK4,Yakovlev Yak-40
YN2,Harbin Y-12
YN7,Xian Yunshuji Y7
YS1,NAMC YS-11
